variant_id,variant_name,run_id,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,ablation_gt_v2_original_migrated_answerable,Full pipeline — baseline (all components enabled),{},128,0.9609,1.0,1.0,0.8837,0.0,,,2188983,17101,0.274462
V2,no_cot_reasoning,ablation_gt_v2_original_migrated_answerable,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",128,0.9688,0.9767,1.0,0.9302,0.79,0.3333,0.625,2189883,17108,0.270295
V3,no_validation,ablation_gt_v2_original_migrated_answerable,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",128,0.5156,0.9767,0.5,0.0698,-44.53,55.0175,0.0,2038462,15925,0.239163
V4,no_repair,ablation_gt_v2_original_migrated_answerable,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",128,0.8281,0.9767,0.9762,0.5349,-13.28,17.0,0.0,2128025,16625,0.256558
V5,no_table_selection_llm,ablation_gt_v2_original_migrated_answerable,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",128,0.9844,1.0,1.0,0.9535,2.35,3.0,0.125,2189679,17107,0.27304
V6,no_schema_enrichment,ablation_gt_v2_original_migrated_answerable,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",128,0.9609,0.9535,0.9762,0.9535,0.0,0.0,1.0,2046610,15989,0.260471
V7,no_rules,ablation_gt_v2_original_migrated_answerable,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",128,0.9688,0.9767,1.0,0.9302,0.79,0.1111,0.7539,1880073,14688,0.250989
V8,zero_shot_raw,ablation_gt_v2_original_migrated_answerable,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",128,0.4844,0.9535,0.4524,0.0465,-47.65,59.0164,0.0,1587452,12402,0.202462
V9,no_semantic_planner,ablation_gt_v2_original_migrated_answerable,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",128,0.9766,0.9767,1.0,0.9535,1.57,1.0,0.375,1938091,15141,0.233933
V10,no_semantic_plan_validation,ablation_gt_v2_original_migrated_answerable,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",128,0.9297,1.0,1.0,0.7907,-3.12,1.6,0.2266,2162636,16896,0.263398
V11,no_semantic_contract_validator,ablation_gt_v2_original_migrated_answerable,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",128,0.9844,1.0,1.0,0.9535,2.35,1.8,0.2188,2197922,17171,0.272217
V12,no_semantic_repair_guidance,ablation_gt_v2_original_migrated_answerable,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",128,0.8984,1.0,1.0,0.6977,-6.25,5.3333,0.0225,2220454,17347,0.277301
LI1,llamaindex_context,ablation_gt_v2_original_migrated_answerable,Use LlamaIndex schema/domain retrieval before current SQL generation,"{""enable_llamaindex_context"": true, ""llamaindex_mode"": ""context""}",82,0.8537,1.0,0.9474,0.2857,-10.72,,,1318145,16075,0.186623
