variant_id,variant_name,run_id,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,smoke_ablation_1q_all_variants_20260516,Full pipeline — baseline (all components enabled),{},1,1.0,1.0,0.0,0.0,0.0,,,16350,16350,0.001551
V2,no_cot_reasoning,smoke_ablation_1q_all_variants_20260516,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16359,16359,0.00148
V3,no_validation,smoke_ablation_1q_all_variants_20260516,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16221,16221,0.001456
V4,no_repair,smoke_ablation_1q_all_variants_20260516,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16348,16348,0.001473
V5,no_table_selection_llm,smoke_ablation_1q_all_variants_20260516,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16359,16359,0.00148
V6,no_schema_enrichment,smoke_ablation_1q_all_variants_20260516,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15114,15114,0.001836
V7,no_rules,smoke_ablation_1q_all_variants_20260516,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13805,13805,0.001875
V8,zero_shot_raw,smoke_ablation_1q_all_variants_20260516,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12414,12414,0.001656
V9,no_semantic_planner,smoke_ablation_1q_all_variants_20260516,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14650,14650,0.001215
V10,no_semantic_plan_validation,smoke_ablation_1q_all_variants_20260516,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16348,16348,0.001473
V11,no_semantic_contract_validator,smoke_ablation_1q_all_variants_20260516,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16359,16359,0.00148
V12,no_semantic_repair_guidance,smoke_ablation_1q_all_variants_20260516,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16372,16372,0.001485
LI1,llamaindex_context,smoke_ablation_1q_all_variants_20260516,Use LlamaIndex schema/domain retrieval before current SQL generation,"{""enable_llamaindex_context"": true, ""llamaindex_mode"": ""context""}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,20609,20609,0.00298
LI2,llamaindex_sql_draft,smoke_ablation_1q_all_variants_20260516,Use LlamaIndex SQL draft generation before validation/execution,"{""enable_llamaindex_context"": true, ""enable_llamaindex_sql_draft"": true, ""llamaindex_mode"": ""sql_draft""}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2647,2647,0.000389
LI3,hybrid_context_current_generator,smoke_ablation_1q_all_variants_20260516,Use LlamaIndex context retrieval with the current structured SQL generator,"{""enable_llamaindex_context"": true, ""llamaindex_mode"": ""hybrid""}",1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,20594,20594,0.0018
