variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,workflow_success,semantic_plan,semantic_validation,semantic_error,semantic_repair,repair_attempts,llamaindex_mode,llamaindex_retrieval_mode,llamaindex_selected_tables,sql_generation_source,latency_by_component,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,7.84,,ablation_smoke_ablation_1q_all_variants_20260516_V0_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.0002880096435546875, ""table_discovery"": 0.6204400062561035, ""schema_analysis"": 0.009096860885620117, ""reasoning"": 4.141134738922119, ""sql_generation"": 1.3708605766296387, ""sql_validation"": 0.6287484169006348, ""sql_execution"": 0.002244234085083008, ""completed"": 0.9739260673522949}",{},16092,258,16350,0.001551
V2,no_cot_reasoning,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,7.88,,ablation_smoke_ablation_1q_all_variants_20260516_V2_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.000263214111328125, ""table_discovery"": 0.6389443874359131, ""schema_analysis"": 0.0008726119995117188, ""reasoning"": 4.115740776062012, ""sql_generation"": 1.5016839504241943, ""sql_validation"": 0.670393705368042, ""sql_execution"": 0.002321481704711914, ""completed"": 0.8955061435699463}","{""disable_cot_reasoning"": true}",16092,267,16359,0.00148
V3,no_validation,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,7.86,,ablation_smoke_ablation_1q_all_variants_20260516_V3_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}",{},{},{},[],,,[],current_structured_output,"{""query_classification"": 0.0002300739288330078, ""table_discovery"": 0.4629042148590088, ""schema_analysis"": 0.0006771087646484375, ""reasoning"": 5.380365371704102, ""sql_generation"": 1.3195090293884277, ""sql_execution"": 0.0034270286560058594, ""completed"": 0.6547718048095703}","{""disable_validation"": true}",15961,260,16221,0.001456
V4,no_repair,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,8.68,,ablation_smoke_ablation_1q_all_variants_20260516_V4_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.0002796649932861328, ""table_discovery"": 1.7236027717590332, ""schema_analysis"": 0.0006573200225830078, ""reasoning"": 4.242465257644653, ""sql_generation"": 1.2812399864196777, ""sql_validation"": 0.7460911273956299, ""sql_execution"": 0.002219676971435547, ""completed"": 0.6358401775360107}","{""disable_repair"": true}",16092,256,16348,0.001473
V5,no_table_selection_llm,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,8.44,,ablation_smoke_ablation_1q_all_variants_20260516_V5_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.0003528594970703125, ""table_discovery"": 0.46619343757629395, ""schema_analysis"": 0.0007958412170410156, ""reasoning"": 4.467475891113281, ""sql_generation"": 1.246781826019287, ""sql_validation"": 0.7268779277801514, ""sql_execution"": 0.00196075439453125, ""completed"": 1.4904370307922363}","{""disable_table_selection_llm"": true}",16092,267,16359,0.00148
V6,no_schema_enrichment,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,7.03,,ablation_smoke_ablation_1q_all_variants_20260516_V6_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.00023317337036132812, ""table_discovery"": 0.4934659004211426, ""schema_analysis"": 0.0008013248443603516, ""reasoning"": 3.4127800464630127, ""sql_generation"": 1.4347357749938965, ""sql_validation"": 0.6575949192047119, ""sql_execution"": 0.0019664764404296875, ""completed"": 0.9800386428833008}","{""disable_schema_enrichment"": true}",14857,257,15114,0.001836
V7,no_rules,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,14.88,,ablation_smoke_ablation_1q_all_variants_20260516_V7_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.000244140625, ""table_discovery"": 0.6462020874023438, ""schema_analysis"": 0.0008149147033691406, ""reasoning"": 3.601384401321411, ""sql_generation"": 1.8926076889038086, ""sql_validation"": 0.568516731262207, ""sql_execution"": 0.001804351806640625, ""completed"": 8.12857985496521}","{""disable_rules"": true}",13535,270,13805,0.001875
V8,zero_shot_raw,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,8.07,,ablation_smoke_ablation_1q_all_variants_20260516_V8_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}",{},{},{},[],,,[],current_structured_output,"{""query_classification"": 0.0002982616424560547, ""table_discovery"": 0.5290331840515137, ""schema_analysis"": 0.0005323886871337891, ""reasoning"": 3.551593780517578, ""sql_generation"": 3.1593315601348877, ""sql_execution"": 0.003475189208984375, ""completed"": 0.7713713645935059}","{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",12169,245,12414,0.001656
V9,no_semantic_planner,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,3.11,,ablation_smoke_ablation_1q_all_variants_20260516_V9_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],,,[],current_structured_output,"{""query_classification"": 0.00025773048400878906, ""table_discovery"": 0.4154806137084961, ""schema_analysis"": 0.0008523464202880859, ""reasoning"": 0.008390665054321289, ""sql_generation"": 1.2990081310272217, ""sql_validation"": 0.6152808666229248, ""sql_execution"": 0.002771139144897461, ""completed"": 0.7267799377441406}","{""disable_semantic_planner"": true}",14571,79,14650,0.001215
V10,no_semantic_plan_validation,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,6.93,,ablation_smoke_ablation_1q_all_variants_20260516_V10_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}",{},{},{},[],,,[],current_structured_output,"{""query_classification"": 0.000240325927734375, ""table_discovery"": 0.6894636154174805, ""schema_analysis"": 0.0007441043853759766, ""reasoning"": 3.4827871322631836, ""sql_generation"": 1.1903984546661377, ""sql_validation"": 0.6845216751098633, ""sql_execution"": 0.0023686885833740234, ""completed"": 0.8327441215515137}","{""disable_semantic_plan_validation"": true}",16092,256,16348,0.001473
