variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,workflow_success,semantic_plan,semantic_validation,semantic_error,semantic_repair,repair_attempts,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT011,medium,Quantos pacientes têm vínculo previdenciário informado?,"SELECT COUNT(*) AS total_vincprev FROM internacoes WHERE ""VINCPREV"" IS NOT NULL AND ""VINCPREV"" != 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VINCPREV"" IS NOT NULL AND ""VINCPREV"" != 0;",True,8.23,,ablation_20260510T164007_2d057980_V0_GT011,results,1,1,[[7473]],[[7473]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""vincprev.informado"", ""values"": [""true""], ""operator"": ""=""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},15569,377,15946,0.002158
V0,full_pipeline,GT012,medium,Quantos pacientes têm nível de instrução informado?,"SELECT COUNT(*) AS total_instrucao FROM internacoes WHERE ""INSTRU"" IS NOT NULL AND ""INSTRU"" != 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""INSTRU"" IS NOT NULL AND ""INSTRU"" != 0;",True,8.06,,ablation_20260510T164007_2d057980_V0_GT012,results,1,1,[[103553]],[[103553]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""instrucao"", ""values"": [""NULL""], ""operator"": ""is not""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": [""instrucao""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},15580,357,15937,0.002148
V0,full_pipeline,GT014,medium,Quantas internações por meningite ocasionaram em morte?,"SELECT COUNT(*) FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE c.""CD_DESCRICAO"" ILIKE '%meningite%' AND i.""MORTE"" = true;","SELECT COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND c.""CD_DESCRICAO"" ILIKE '%meningite%';",True,16.83,,ablation_20260510T164007_2d057980_V0_GT014,results,1,1,[[226]],[[226]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""cid_morte_descricao"", ""values"": [""meningite""], ""operator"": ""ILIKE""}, {""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [""death_cause_description_requires_cid_morte""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""death_cause_description_requires_cid_morte""], ""null_policy"": [], ""message"": null}",{},{},[],{},14510,517,15027,0.001613
V0,full_pipeline,GT018,medium,Quantos habitantes tem o município que tem a maior população segundo dados do IBGE?,"SELECT mu.nome AS municipio_maior_populacao, s.valor AS total_habitantes FROM socioeconomico s JOIN municipios mu ON s.codigo_6d = mu.codigo_6d WHERE s.metrica = 'populacao_total' ORDER BY s.valor DESC LIMIT 1;","SELECT mu.""nome"" AS municipio, s.""valor"" AS populacao_total FROM socioeconomico s JOIN municipios mu ON s.""codigo_6d"" = mu.""codigo_6d"" WHERE s.""metrica"" = 'populacao_total' ORDER BY s.""valor"" DESC LIMIT 1;",True,11.4,,ablation_20260510T164007_2d057980_V0_GT018,results,1,1,"[[""SÃ£o Paulo"", 11451999.0]]","[[""SÃ£o Paulo"", 11451999.0]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""ranking"", ""base_grain"": ""municipio_ano_metrica"", ""metrics"": [{""name"": ""populacao_total"", ""expression_type"": ""value"", ""required_filters"": [""metrica = 'populacao_total'""]}], ""dimensions"": [{""name"": ""municipio"", ""source"": ""municipios.nome"", ""role"": ""group""}], ""filters"": [{""field"": ""metrica"", ""values"": [""populacao_total""], ""operator"": ""=""}], ""answer_shape"": {""row_grain"": ""top_n_global"", ""top_n"": 1, ""top_n_scope"": ""global"", ""required_dimensions"": [""municipio""], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""top_n_global"", ""expected_row_count"": ""bounded_n"", ""output_dimensions"": [""municipio""], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [""socioeconomico_metric_filter_required""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""socioeconomico_metric_filter_required""], ""null_policy"": [], ""message"": null}",{},{},[],{},11140,532,11672,0.001501
V0,full_pipeline,GT019,medium,Quais os cinco municípios com mais internações obstétricas registradas?,"SELECT mu.nome, COUNT(*) AS total_internacoes FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d WHERE i.""ESPEC"" = 2 GROUP BY mu.nome ORDER BY total_internacoes DESC LIMIT 5;","SELECT mu.nome AS municipio, COUNT(*) AS total_internacoes FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d WHERE i.""ESPEC"" = 2 GROUP BY mu.nome ORDER BY total_internacoes DESC LIMIT 5;",True,13.18,,ablation_20260510T164007_2d057980_V0_GT019,results,5,5,"[[""SÃ£o LuÃ­s"", 222673], [""Porto Alegre"", 166478], [""Imperatriz"", 60366], [""Pelotas"", 56523], [""Canoas"", 56065]]","[[""SÃ£o LuÃ­s"", 222673], [""Porto Alegre"", 166478], [""Imperatriz"", 60366], [""Pelotas"", 56523], [""Canoas"", 56065]]","{""gt_size"": 5, ""pred_size"": 5, ""normalized_match"": true}",,True,"{""intent"": ""ranking"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [{""name"": ""municipio"", ""source"": ""municipios.nome"", ""role"": ""group""}], ""filters"": [{""field"": ""obstetrico"", ""values"": [""ESPEC = 2""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""top_n_global"", ""top_n"": 5, ""top_n_scope"": ""global"", ""required_dimensions"": [""municipio""], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": true, ""include_unknown_bucket"": false, ""answer_kind"": ""top_n_global"", ""expected_row_count"": ""bounded_n"", ""output_dimensions"": [""municipio""], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14439,544,14983,0.001619
V0,full_pipeline,GT023,medium,Quantas internações de UTI resultaram em óbito?,"SELECT COUNT(*) AS uti_com_obito FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;","SELECT COUNT(*) AS total_obitos FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;",True,9.52,,ablation_20260510T164007_2d057980_V0_GT023,results,1,1,[[265410]],[[265410]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""uti"", ""values"": [""VAL_UTI > 0""], ""operator"": ""semantic""}, {""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14471,404,14875,0.001539
V0,full_pipeline,GT024,medium,Quais hospitais têm mais de 1000 internações registradas?,"SELECT h.""CNES"", COUNT(i.""N_AIH"") AS total_internacoes FROM hospital h JOIN internacoes i ON h.""CNES"" = i.""CNES"" GROUP BY h.""CNES"" HAVING COUNT(i.""N_AIH"") > 1000 ORDER BY total_internacoes DESC;","SELECT i.""CNES"", COUNT(*) AS total_internacoes FROM internacoes i GROUP BY i.""CNES"" HAVING COUNT(*) > 1000 ORDER BY total_internacoes DESC;",True,9.87,,ablation_20260510T164007_2d057980_V0_GT024,results,615,615,"[[2237571, 584036], [2237601, 520527], [2237253, 364465], [2246988, 362948], [2693801, 230113]]","[[2237571, 584036], [2237601, 520527], [2237253, 364465], [2246988, 362948], [2693801, 230113]]","{""gt_size"": 615, ""pred_size"": 615, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [{""name"": ""hospital"", ""source"": ""internacoes.CNES"", ""role"": ""group""}], ""filters"": [{""field"": ""minimum_group_count"", ""values"": [""1000""], ""operator"": "">""}, {""field"": ""internacoes.hospital_id"", ""values"": [""1000""], ""operator"": "">""}], ""answer_shape"": {""row_grain"": ""one_row_per_group"", ""top_n_scope"": ""none"", ""required_dimensions"": [""hospital""], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": true, ""include_unknown_bucket"": false, ""answer_kind"": ""grouped_table"", ""expected_row_count"": ""one_per_group"", ""output_dimensions"": [""hospital""], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},16962,574,17536,0.001861
V0,full_pipeline,GT025,medium,Quantas internações com VDRL positivo resultaram em morte?,"SELECT COUNT(*) AS vdrl_positivo_obito FROM internacoes WHERE ""IND_VDRL"" = true AND ""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""IND_VDRL"" = true AND ""MORTE"" = true;",True,8.11,,ablation_20260510T164007_2d057980_V0_GT025,results,1,1,[[819]],[[819]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}, {""field"": ""VDRL"", ""values"": [""positivo""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14442,381,14823,0.001521
V0,full_pipeline,GT026,medium,Qual o valor médio das internações que resultaram em óbito?,"SELECT AVG(""VAL_TOT"") AS valor_medio_obitos FROM internacoes WHERE ""MORTE"" = true AND ""VAL_TOT"" IS NOT NULL;","SELECT ROUND(AVG(""VAL_TOT""), 2) AS valor_medio_internacoes FROM internacoes WHERE ""MORTE"" = true;",True,7.89,,ablation_20260510T164007_2d057980_V0_GT026,results,1,1,[[9371.975095547688]],[[9371.98]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""rate"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""media"", ""expression_type"": ""avg"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}, {""field"": ""desfecho"", ""values"": [""MORTE""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14097,383,14480,0.001471
V0,full_pipeline,GT027,medium,Quantas internações obstétricas foram registradas em UTI?,"SELECT COUNT(*) AS obstetricos_uti FROM internacoes WHERE ""ESPEC"" = 2 AND ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total_internacoes_obstetricas_uti FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""ESPEC"" = 2;",True,7.78,,ablation_20260510T164007_2d057980_V0_GT027,results,1,1,[[4476]],[[4476]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""uti"", ""values"": [""VAL_UTI > 0""], ""operator"": ""semantic""}, {""field"": ""obstetrico"", ""values"": [""ESPEC = 2""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14237,403,14640,0.001504
