variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,workflow_success,semantic_plan,semantic_validation,semantic_error,semantic_repair,repair_attempts,llamaindex_mode,llamaindex_retrieval_mode,llamaindex_selected_tables,sql_generation_source,latency_by_component,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total_internacoes FROM internacoes;,True,13.66,,ablation_20260517T223825_2614d521_V0_GT001,results,1,1,[[183877219]],[[183877219]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""internacoes"", ""internacao_procedimento"", ""cid""]",current_structured_output,"{""query_classification"": 0.001646280288696289, ""table_discovery"": 2.619016170501709, ""schema_analysis"": 0.001079559326171875, ""reasoning"": 5.965389728546143, ""sql_generation"": 2.6165976524353027, ""sql_validation"": 1.0522401332855225, ""sql_execution"": 0.0022547245025634766, ""completed"": 1.2418737411499023}",{},19099,261,19360,0.002945
V0,full_pipeline,GT002,easy,Quantas mortes foram registradas?,"SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;",True,13.85,,ablation_20260517T223825_2614d521_V0_GT002,results,1,1,[[7907788]],[[7907788]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}, {""field"": ""desfecho"", ""values"": [""MORTE""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""internacoes"", ""cid""]",current_structured_output,"{""query_classification"": 0.0019478797912597656, ""table_discovery"": 2.624605894088745, ""schema_analysis"": 0.0008378028869628906, ""reasoning"": 6.454182147979736, ""sql_generation"": 2.3374388217926025, ""sql_validation"": 1.1598269939422607, ""sql_execution"": 0.03784823417663574, ""completed"": 0.9433543682098389}",{},17478,323,17801,0.002595
V0,full_pipeline,GT003,easy,Quantos procedimentos diferentes existem cadastrados?,SELECT COUNT(*) AS total_procedimentos FROM procedimentos;,SELECT COUNT(*) AS total_procedimentos FROM procedimentos;,True,7.82,,ablation_20260517T223825_2614d521_V0_GT003,results,1,1,[[5394]],[[5394]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""procedimento_ocorrencia"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": [""procedimento""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""procedimentos"", ""internacao_procedimento"", ""internacoes"", ""cid""]",current_structured_output,"{""query_classification"": 0.0002999305725097656, ""table_discovery"": 0.66143798828125, ""schema_analysis"": 0.00042724609375, ""reasoning"": 3.6140568256378174, ""sql_generation"": 1.3857636451721191, ""sql_validation"": 0.6588773727416992, ""sql_execution"": 0.0019545555114746094, ""completed"": 1.4407711029052734}",{},19874,283,20157,0.002911
V0,full_pipeline,GT004,easy,Quantos códigos CID-10 estão disponíveis?,SELECT COUNT(*) AS total_cids FROM cid;,"SELECT COUNT(DISTINCT ""CID"") AS cid_catalog_count FROM cid;",True,8.07,,ablation_20260517T223825_2614d521_V0_GT004,results,1,1,[[14253]],[[14253]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""cid_catalog"", ""metrics"": [{""name"": ""cid_catalog_count"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""diagnostico"", ""forbidden_output_dimensions"": [""diagnostico""]}, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""cid"", ""internacoes"", ""municipios""]",current_structured_output,"{""query_classification"": 0.0003142356872558594, ""table_discovery"": 0.6322047710418701, ""schema_analysis"": 0.0006153583526611328, ""reasoning"": 3.9452576637268066, ""sql_generation"": 1.7622475624084473, ""sql_validation"": 0.7437810897827148, ""sql_execution"": 0.0038182735443115234, ""completed"": 0.921497106552124}",{},17853,326,18179,0.002634
V0,full_pipeline,GT005,easy,Quantos hospitais estão cadastrados?,SELECT COUNT(*) AS total_hospitais FROM hospital;,SELECT COUNT(*) FROM hospital;,True,8.34,,ablation_20260517T223825_2614d521_V0_GT005,results,1,1,[[6873]],[[6873]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""hospital"", ""forbidden_output_dimensions"": [""hospital""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""municipios"", ""hospital"", ""internacoes"", ""cid""]",current_structured_output,"{""query_classification"": 0.00029659271240234375, ""table_discovery"": 0.6073153018951416, ""schema_analysis"": 0.0004968643188476562, ""reasoning"": 4.081929683685303, ""sql_generation"": 2.0948591232299805, ""sql_validation"": 0.7951757907867432, ""sql_execution"": 0.0020918846130371094, ""completed"": 0.6949670314788818}",{},18887,259,19146,0.002748
V0,full_pipeline,GT006,easy,Quantos municípios têm dados socioeconômicos registrados?,"SELECT COUNT(DISTINCT ""CO_MUNICIPIO_6D"") AS total_municipios FROM socioeconomico;","SELECT COUNT(DISTINCT ""CO_MUNICIPIO_6D"") FROM socioeconomico;",True,9.25,,ablation_20260517T223825_2614d521_V0_GT006,results,1,1,[[5570]],[[5570]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""municipio"", ""forbidden_output_dimensions"": [""municipio""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""socioeconomico"", ""municipios"", ""internacoes""]",current_structured_output,"{""query_classification"": 0.00026607513427734375, ""table_discovery"": 0.643552303314209, ""schema_analysis"": 0.000370025634765625, ""reasoning"": 4.622917890548706, ""sql_generation"": 1.9402236938476562, ""sql_validation"": 1.1655912399291992, ""sql_execution"": 0.004298210144042969, ""completed"": 0.8169984817504883}",{},17960,329,18289,0.002815
V0,full_pipeline,GT007,easy,Quantos registros de internação em UTI existem?,"SELECT COUNT(*) AS total_uti FROM internacoes WHERE ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0;",True,8.03,,ablation_20260517T223825_2614d521_V0_GT007,results,1,1,[[12349838]],[[12349838]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""uti"", ""values"": [""VAL_UTI > 0""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""internacoes"", ""internacao_procedimento"", ""cid"", ""especialidade""]",current_structured_output,"{""query_classification"": 0.0004942417144775391, ""table_discovery"": 0.5188517570495605, ""schema_analysis"": 0.00037217140197753906, ""reasoning"": 3.847797155380249, ""sql_generation"": 1.75286865234375, ""sql_validation"": 0.7026822566986084, ""sql_execution"": 0.12128949165344238, ""completed"": 1.0344650745391846}",{},19362,319,19681,0.002645
V0,full_pipeline,GT008,easy,Quantos casos de VDRL positivo foram registrados?,"SELECT COUNT(*) AS total_vdrl FROM internacoes WHERE ""IND_VDRL"" = true;","SELECT COUNT(*) AS total FROM internacoes JOIN cid ON internacoes.""DIAG_PRINC"" = cid.""CID"" WHERE cid.""DESCRICAO"" LIKE '%VDRL positivo%';",False,10.87,,ablation_20260517T223825_2614d521_V0_GT008,results,1,1,[[28494151]],[[0]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": false, ""missing_rows_count"": 1, ""extra_rows_count"": 1, ""missing_rows_sample"": [[28494151]], ""extra_rows_sample"": [[0]], ""overlap_ratio"": 0.0}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""diagnostico_principal_descricao"", ""values"": [""vdrl positivo""], ""operator"": ""ILIKE""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [""diagnosis_filter_dimension_not_output"", ""diagnosis_description_lookup_required""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""diagnosis_filter_dimension_not_output"", ""diagnosis_description_lookup_required""], ""null_policy"": [], ""message"": null}","{""category"": ""unknown"", ""severity"": ""error"", ""message"": ""SEMANTIC PLAN ERROR: SQL does not apply the requested diagnosis description filter through DIAG_PRINC.""}","{""original_category"": ""unknown"", ""original_message"": ""SEMANTIC PLAN ERROR: SQL does not apply the requested diagnosis description filter through DIAG_PRINC."", ""guidance_title"": ""Erro semantico desconhecido"", ""strategy"": ""llm_guided"", ""post_repair_category"": null, ""post_repair_message"": null, ""validation_passed_after_repair"": true}","[{""previous_sql"": ""SELECT COUNT(*) AS total FROM internacoes WHERE \""IND_VDRL\"" = true;"", ""error_message"": ""SEMANTIC PLAN ERROR: SQL does not apply the requested diagnosis description filter through DIAG_PRINC."", ""semantic_category"": ""unknown"", ""semantic_guidance"": ""Erro semantico desconhecido"", ""violated_contract"": {}, ""repair_strategy"": ""llm_guided"", ""timestamp"": ""2026-05-17T19:42:24.417579"", ""post_repair_validation"": {""passed"": true, ""message"": null}}]",context,llamaindex_schema,"[""cid"", ""internacoes""]",current_structured_output,"{""query_classification"": 0.0002713203430175781, ""table_discovery"": 1.1365151405334473, ""schema_analysis"": 0.0006558895111083984, ""reasoning"": 4.304295301437378, ""sql_generation"": 1.8295681476593018, ""sql_validation"": 1.1232411861419678, ""sql_repair"": 1.09409761428833, ""sql_execution"": 0.0032529830932617188, ""completed"": 0.7382922172546387}",{},19889,458,20347,0.002874
V0,full_pipeline,GT009,easy,Quantas especialidades médicas estão cadastradas?,SELECT COUNT(*) AS total_especialidades FROM especialidade;,SELECT COUNT(*) AS total_especialidades FROM especialidade;,True,9.66,,ablation_20260517T223825_2614d521_V0_GT009,results,1,1,[[70]],[[70]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""especialidade"", ""cid"", ""procedimentos"", ""internacoes""]",current_structured_output,"{""query_classification"": 0.0002803802490234375, ""table_discovery"": 4.063515663146973, ""schema_analysis"": 0.00045013427734375, ""reasoning"": 2.707589864730835, ""sql_generation"": 1.5879032611846924, ""sql_validation"": 0.6382777690887451, ""sql_execution"": 0.002083301544189453, ""completed"": 0.6054494380950928}",{},18270,257,18527,0.002655
V0,full_pipeline,GT010,easy,Quantos casos obstétricos foram registrados?,"SELECT COUNT(*) AS total_obstetricos FROM internacoes WHERE ""ESPEC"" = 2;","SELECT COUNT(*) AS total FROM internacoes WHERE ""ESPEC"" = 2;",True,8.98,,ablation_20260517T223825_2614d521_V0_GT010,results,1,1,[[34051416]],[[34051416]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""obstetrico"", ""values"": [""ESPEC = 2""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],context,llamaindex_schema,"[""contraceptivos"", ""internacoes"", ""cid""]",current_structured_output,"{""query_classification"": 0.0003418922424316406, ""table_discovery"": 1.4229052066802979, ""schema_analysis"": 0.0006048679351806641, ""reasoning"": 3.835237741470337, ""sql_generation"": 1.433466911315918, ""sql_validation"": 1.5080287456512451, ""sql_execution"": 0.039841413497924805, ""completed"": 0.6824586391448975}",{},15930,339,16269,0.002353
