variant_id,variant_name,mode,description_variant,prompt_variant,n_queries,raw_acceptable_rate,validated_acceptable_rate,raw_exact_core_match_rate,validated_exact_core_match_rate,raw_avg_core_recall,validated_avg_core_recall,raw_avg_allowed_precision,validated_avg_allowed_precision,raw_forbidden_hit_rate,validated_forbidden_hit_rate,avg_selected_tables,stage_counts
TS22,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,40,0.875,0.925,0.825,0.8,0.9917,0.9917,0.9688,0.9854,0.05,0.0,1.77,"{""llm"": 40}"
TS23,llm_only::role_guardrails::selection_protocol,llm_only,role_guardrails,selection_protocol,40,0.9,0.9,0.875,0.8,0.9917,0.9917,0.9771,0.9771,0.0,0.0,1.8,"{""llm"": 40}"
TS35,llm_only::schema_contract::selection_protocol,llm_only,schema_contract,selection_protocol,40,0.875,0.9,0.825,0.775,0.9833,0.9833,0.9729,0.9854,0.0,0.0,1.75,"{""llm"": 40}"
TS21,llm_only::role_guardrails::anti_overselection,llm_only,role_guardrails,anti_overselection,40,0.875,0.9,0.825,0.775,0.9792,0.9792,0.9771,0.9854,0.025,0.0,1.75,"{""llm"": 40}"
TS33,llm_only::schema_contract::anti_overselection,llm_only,schema_contract,anti_overselection,40,0.875,0.9,0.825,0.775,0.9792,0.9792,0.9729,0.9854,0.0,0.0,1.75,"{""llm"": 40}"
TS18,llm_only::role_guardrails::current,llm_only,role_guardrails,current,40,0.825,0.875,0.775,0.75,0.9792,0.9917,0.9438,0.9646,0.05,0.0,1.82,"{""llm"": 40}"
TS19,llm_only::role_guardrails::compact,llm_only,role_guardrails,compact,40,0.775,0.875,0.725,0.75,0.9708,0.9833,0.9333,0.9729,0.1,0.0,1.77,"{""llm"": 40}"
TS34,llm_only::schema_contract::decision_checklist,llm_only,schema_contract,decision_checklist,40,0.8,0.875,0.75,0.75,0.9792,0.9792,0.95,0.9792,0.05,0.0,1.77,"{""llm"": 40}"
TS31,llm_only::schema_contract::compact,llm_only,schema_contract,compact,40,0.775,0.875,0.725,0.75,0.9583,0.9708,0.9438,0.9854,0.1,0.0,1.73,"{""llm"": 40}"
TS17,llm_only::use_cases::selection_protocol,llm_only,use_cases,selection_protocol,40,0.85,0.875,0.8,0.75,0.9667,0.9667,0.9354,0.9479,0.05,0.025,1.8,"{""llm"": 40}"
TS20,llm_only::role_guardrails::minimal,llm_only,role_guardrails,minimal,40,0.8,0.85,0.75,0.725,0.975,0.9833,0.9417,0.9604,0.05,0.0,1.8,"{""llm"": 40}"
TS10,llm_only::minimal::decision_checklist,llm_only,minimal,decision_checklist,40,0.7,0.8,0.6,0.675,0.975,0.975,0.8979,0.9521,0.1,0.0,1.8,"{""llm"": 40}"
TS16,llm_only::use_cases::decision_checklist,llm_only,use_cases,decision_checklist,40,0.75,0.8,0.7,0.675,0.9708,0.9708,0.9313,0.9521,0.05,0.0,1.8,"{""llm"": 40}"
TS30,llm_only::schema_contract::current,llm_only,schema_contract,current,40,0.75,0.8,0.7,0.675,0.9583,0.9708,0.9313,0.9521,0.05,0.0,1.8,"{""llm"": 40}"
TS32,llm_only::schema_contract::minimal,llm_only,schema_contract,minimal,40,0.725,0.8,0.675,0.675,0.9625,0.9625,0.9313,0.9604,0.05,0.0,1.75,"{""llm"": 40}"
TS15,llm_only::use_cases::anti_overselection,llm_only,use_cases,anti_overselection,40,0.725,0.8,0.675,0.675,0.9583,0.9583,0.9104,0.9396,0.075,0.0,1.82,"{""llm"": 40}"
TS12,llm_only::use_cases::current,llm_only,use_cases,current,40,0.7,0.775,0.65,0.65,0.9917,0.9917,0.8771,0.9104,0.1,0.0,1.95,"{""llm"": 40}"
TS27,llm_only::join_paths::anti_overselection,llm_only,join_paths,anti_overselection,40,0.725,0.775,0.65,0.65,0.9833,0.9833,0.8979,0.9229,0.05,0.0,1.88,"{""llm"": 40}"
TS09,llm_only::minimal::anti_overselection,llm_only,minimal,anti_overselection,40,0.725,0.775,0.65,0.65,0.9792,0.9792,0.8896,0.9104,0.05,0.0,1.93,"{""llm"": 40}"
TS03,llm_only::current::anti_overselection,llm_only,current,anti_overselection,40,0.725,0.775,0.675,0.65,0.9625,0.9625,0.9354,0.9563,0.05,0.0,1.77,"{""llm"": 40}"
TS06,llm_only::minimal::current,llm_only,minimal,current,40,0.7,0.75,0.6,0.625,0.9917,0.9917,0.8938,0.8979,0.05,0.0,2.02,"{""llm"": 40}"
TS24,llm_only::join_paths::current,llm_only,join_paths,current,40,0.65,0.75,0.55,0.625,0.9708,0.9833,0.8729,0.9037,0.075,0.0,2.02,"{""llm"": 40}"
TS28,llm_only::join_paths::decision_checklist,llm_only,join_paths,decision_checklist,40,0.625,0.75,0.6,0.65,0.975,0.975,0.8604,0.9125,0.125,0.0,1.95,"{""llm"": 40}"
