variant_id,variant_name,run_id,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,20260509T011519_9624afdc,Full pipeline — baseline (all components enabled),{},132,0.7348,0.8605,0.7955,0.5556,0.0,,,1767369,13389,0.225511
V2,no_cot_reasoning,20260509T011519_9624afdc,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",132,0.6818,0.814,0.7273,0.5111,-5.3,2.5789,0.1153,1921397,14556,0.211366
V3,no_validation,20260509T011519_9624afdc,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",132,0.4242,0.8837,0.3409,0.0667,-31.06,30.1887,0.0,1892512,14337,0.203513
V4,no_repair,20260509T011519_9624afdc,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",132,0.5985,0.8372,0.5682,0.4,-13.63,10.3214,0.0013,1808860,13703,0.194317
V5,no_table_selection_llm,20260509T011519_9624afdc,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",132,0.7045,0.8372,0.7045,0.5778,-3.03,1.0,0.3323,1827703,13846,0.214626
V6,no_schema_enrichment,20260509T011519_9624afdc,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",132,0.7803,0.9767,0.75,0.6222,4.55,3.0,0.0923,1659884,12575,0.217252
V7,no_rules,20260509T011519_9624afdc,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",132,0.7424,1.0,0.7727,0.4667,0.76,0.0588,0.8145,1456646,11035,0.197089
V8,zero_shot_raw,20260509T011519_9624afdc,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",132,0.447,0.907,0.3864,0.0667,-28.78,25.3519,0.0,1173880,8893,0.152905
V9,no_semantic_planner,20260509T011519_9624afdc,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",132,0.6061,0.8605,0.6364,0.3333,-12.87,8.8276,0.003,1602854,12143,0.170524
V10,no_semantic_plan_validation,20260509T011519_9624afdc,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",132,0.6667,0.814,0.6364,0.5556,-6.81,2.3704,0.1237,1920568,14550,0.234861
V11,no_semantic_contract_validator,20260509T011519_9624afdc,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",132,0.7121,0.8837,0.6818,0.5778,-2.27,0.4286,0.5235,1945318,14737,0.242246
V12,no_semantic_repair_guidance,20260509T011519_9624afdc,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",132,0.6439,0.8372,0.6364,0.4667,-9.09,3.7812,0.0518,1773652,13437,0.227658
