variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,workflow_success,semantic_plan,semantic_validation,semantic_error,semantic_repair,repair_attempts,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT004,easy,Quantos códigos CID-10 estão disponíveis?,SELECT COUNT(*) AS total_cids FROM cid;,"SELECT COUNT(DISTINCT ""CID"") AS cid_catalog_count FROM cid;",True,8.39,,ablation_20260510T163634_266dbb1a_V0_GT004,results,1,1,[[14262]],[[14262]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""cid_catalog"", ""metrics"": [{""name"": ""cid_catalog_count"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""diagnostico"", ""forbidden_output_dimensions"": [""diagnostico""]}, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""message"": null}",{},{},[],{},9309,316,9625,0.001106
V0,full_pipeline,GT005,easy,Quantos hospitais estão cadastrados?,SELECT COUNT(*) AS total_hospitais FROM hospital;,SELECT COUNT(*) FROM hospital;,True,8.01,,ablation_20260510T163634_266dbb1a_V0_GT005,results,1,1,[[711]],[[711]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""hospital"", ""forbidden_output_dimensions"": [""hospital""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},10262,260,10522,0.001302
V0,full_pipeline,GT006,easy,Quantos municípios têm dados socioeconômicos registrados?,SELECT COUNT(DISTINCT codigo_6d) AS total_municipios FROM socioeconomico;,"SELECT COUNT(DISTINCT mu.""codigo_6d"") FROM socioeconomico s JOIN municipios mu ON s.""codigo_6d"" = mu.""codigo_6d"" WHERE s.""metrica"" = 'bolsa_familia_total';",True,9.66,,ablation_20260510T163634_266dbb1a_V0_GT006,results,1,1,[[5570]],[[5570]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""socioeconomico_data"", ""values"": [""exists""], ""operator"": ""=""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""municipio"", ""forbidden_output_dimensions"": [""municipio""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}","{""category"": ""unknown"", ""severity"": ""error"", ""message"": ""SEMANTIC ERROR: Query uses 'socioeconomico' table but is missing a WHERE metrica = '...' filter. The socioeconomico table is long-format (one row per metric × municipality × year). Without a metrica filter, the query aggregates across ALL metrics (population, IDHM, bolsa familia, etc.) which produces meaningless results. FIX EXACTLY: SELECT mu.nome AS municipio_maior_populacao FROM socioeconomico s JOIN municipios mu ON s.codigo_6d = mu.codigo_6d WHERE s.metrica = 'populacao_total' ORDER BY s.valor DESC LIMIT 1; IMPORTANT: SELECT ONLY the column(s) that directly answer the question. Do NOT include s.valor or extra columns unless explicitly requested.""}","{""original_category"": ""unknown"", ""original_message"": ""SEMANTIC ERROR: Query uses 'socioeconomico' table but is missing a WHERE metrica = '...' filter. The socioeconomico table is long-format (one row per metric × municipality × year). Without a metrica filter, the query aggregates across ALL metrics (population, IDHM, bolsa familia, etc.) which produces meaningless results. FIX EXACTLY: SELECT mu.nome AS municipio_maior_populacao FROM socioeconomico s JOIN municipios mu ON s.codigo_6d = mu.codigo_6d WHERE s.metrica = 'populacao_total' ORDER BY s.valor DESC LIMIT 1; IMPORTANT: SELECT ONLY the column(s) that directly answer the question. Do NOT include s.valor or extra columns unless explicitly requested."", ""guidance_title"": ""Erro semantico desconhecido"", ""strategy"": ""llm_guided"", ""post_repair_category"": null, ""post_repair_message"": null, ""validation_passed_after_repair"": true}","[{""previous_sql"": ""SELECT COUNT(DISTINCT \""codigo_6d\"") FROM socioeconomico;"", ""error_message"": ""SEMANTIC ERROR: Query uses 'socioeconomico' table but is missing a WHERE metrica = '...' filter. The socioeconomico table is long-format (one row per metric × municipality × year). Without a metrica filter, the query aggregates across ALL metrics (population, IDHM, bolsa familia, etc.) which produces meaningless results. FIX EXACTLY: SELECT mu.nome AS municipio_maior_populacao FROM socioeconomico s JOIN municipios mu ON s.codigo_6d = mu.codigo_6d WHERE s.metrica = 'populacao_total' ORDER BY s.valor DESC LIMIT 1; IMPORTANT: SELECT ONLY the column(s) that directly answer the question. Do NOT include s.valor or extra columns unless explicitly requested."", ""semantic_category"": ""unknown"", ""semantic_guidance"": ""Erro semantico desconhecido"", ""violated_contract"": {}, ""repair_strategy"": ""llm_guided"", ""timestamp"": ""2026-05-10T13:36:51.468805"", ""post_repair_validation"": {""passed"": true, ""message"": null}}]",{},11972,442,12414,0.001427
V0,full_pipeline,GT022,easy,Quantos hospitais registraram pelo menos uma morte?,"SELECT COUNT(DISTINCT ""CNES"") AS hospitais_com_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(DISTINCT i.""CNES"") AS total_hospitais FROM internacoes i WHERE i.""MORTE"" = true;",True,7.87,,ablation_20260510T163634_266dbb1a_V0_GT022,results,1,1,[[610]],[[610]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}, {""field"": ""hospital_id"", ""values"": [], ""operator"": ""exists""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""hospital"", ""forbidden_output_dimensions"": [""hospital""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},15777,346,16123,0.001528
V0,full_pipeline,GT032,easy,Quantos municípios estão no estado do RS?,SELECT COUNT(*) AS municipios_rs FROM municipios WHERE estado = 'RS';,"SELECT COUNT(*) FROM municipios WHERE ""estado"" = 'RS';",True,7.69,,ablation_20260510T163634_266dbb1a_V0_GT032,results,1,1,[[497]],[[497]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""municipio_catalog"", ""metrics"": [{""name"": ""municipio_catalog_count"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""estado"", ""values"": [""RS""], ""operator"": ""=""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [""estado""], ""counted_entity"": ""municipio"", ""forbidden_output_dimensions"": [""estado"", ""municipio""]}, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""message"": null}",{},{},[],{},9116,325,9441,0.00139
V0,full_pipeline,GT039,medium,Quais são as três causas de morte mais frequentes entre mulheres?,"SELECT c.""CD_DESCRICAO"", COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""SEXO"" = 3 AND i.""MORTE"" = true AND i.""CID_MORTE"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 3;","SELECT c.""CD_DESCRICAO"" AS causa_morte, COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND i.""SEXO"" = 3 GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 3;",True,11.82,,ablation_20260510T163634_266dbb1a_V0_GT039,results,3,3,"[[""Nao preenchido"", 231490], [""Insuf respirat aguda"", 11488], [""Septicemia NE"", 8600]]","[[""Nao preenchido"", 231490], [""Insuf respirat aguda"", 11488], [""Septicemia NE"", 8600]]","{""gt_size"": 3, ""pred_size"": 3, ""normalized_match"": true}",,True,"{""intent"": ""ranking"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total_mortes"", ""expression_type"": ""count"", ""required_filters"": [""MORTE = true""]}], ""dimensions"": [{""name"": ""diagnostico"", ""source"": ""cid.CD_DESCRICAO"", ""role"": ""group""}], ""filters"": [{""field"": ""sexo"", ""values"": [""3""], ""operator"": ""=""}, {""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""top_n_global"", ""top_n"": 3, ""top_n_scope"": ""global"", ""required_dimensions"": [""diagnostico""], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": true, ""include_unknown_bucket"": false, ""answer_kind"": ""top_n_global"", ""expected_row_count"": ""bounded_n"", ""output_dimensions"": [""diagnostico""], ""filter_dimensions"": [""sexo""], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},16260,581,16841,0.00176
V0,full_pipeline,GT041,medium,Quantos hospitais atenderam casos de UTI em 2020?,"SELECT COUNT(DISTINCT ""CNES"") FROM internacoes WHERE ""VAL_UTI"" > 0 AND EXTRACT(YEAR FROM ""DT_INTER"") = 2020;","SELECT COUNT(DISTINCT h.""CNES"") AS total_hospitais FROM internacoes i JOIN hospital h ON i.""CNES"" = h.""CNES"" WHERE i.""VAL_UTI"" > 0 AND EXTRACT(YEAR FROM i.""DT_INTER"") = 2020;",True,9.16,,ablation_20260510T163634_266dbb1a_V0_GT041,results,1,1,[[129]],[[129]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""ano"", ""values"": [""2020""], ""operator"": ""=""}, {""field"": ""uti"", ""values"": [""VAL_UTI > 0""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""hospital"", ""forbidden_output_dimensions"": [""hospital""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},16773,501,17274,0.001713
V0,full_pipeline,GT043,medium,Quantas internações tiveram tanto diagnóstico principal quanto secundário?,"SELECT COUNT(*) AS com_ambos_diagnosticos FROM internacoes WHERE ""DIAG_PRINC"" IS NOT NULL AND ""DIAG_SECUN"" IS NOT NULL;","SELECT COUNT(*) AS total FROM internacoes WHERE ""DIAG_PRINC"" IS NOT NULL AND ""DIAG_SECUN"" IS NOT NULL;",True,8.63,,ablation_20260510T163634_266dbb1a_V0_GT043,results,1,1,[[18443084]],[[18443084]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""diagnostico_principal_required"", ""values"": [""IS NOT NULL""], ""operator"": ""semantic""}, {""field"": ""diagnostico_secundario_required"", ""values"": [""IS NOT NULL""], ""operator"": ""semantic""}, {""field"": ""diagnostico_principal"", ""values"": [""IS NOT NULL""], ""operator"": ""semantic""}, {""field"": ""diagnostico_secundario"", ""values"": [""IS NOT NULL""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [""diagnostico""], ""counted_entity"": ""diagnostico"", ""forbidden_output_dimensions"": [""diagnostico""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14301,425,14726,0.00145
V0,full_pipeline,GT052,easy,Quantos códigos CID-10 distintos existem?,"SELECT COUNT(DISTINCT ""CID"") FROM cid;","SELECT COUNT(DISTINCT ""CID"") AS cid_catalog_count FROM cid;",True,8.69,,ablation_20260510T163634_266dbb1a_V0_GT052,results,1,1,[[14262]],[[14262]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""cid_catalog"", ""metrics"": [{""name"": ""cid_catalog_count"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""diagnostico"", ""forbidden_output_dimensions"": [""diagnostico""]}, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""message"": null}",{},{},[],{},9309,332,9641,0.00102
V0,full_pipeline,GT098,easy,Quantos municípios estão cadastrados no total?,SELECT COUNT(*) AS total_municipios FROM municipios;,SELECT COUNT(*) FROM municipios;,True,8.42,,ablation_20260510T163634_266dbb1a_V0_GT098,results,1,1,[[5571]],[[5571]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""municipio_catalog"", ""metrics"": [{""name"": ""municipio_catalog_count"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""municipio"", ""forbidden_output_dimensions"": [""municipio""]}, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""message"": null}",{},{},[],{},9010,272,9282,0.000967
