Ground truths com EX = 0
----------------------------------------
GT018 | Quantos habitantes tem o município que tem a maior população segundo dados do IBGE? | EX = 0
GT040 | Qual a taxa de mortalidade infantil média no Brasil? | EX = 0
GT054 | Qual o maior valor de internação registrado? | EX = 0
GT055 | Quantos registros de raça/cor estão cadastrados? | EX = 0
GT058 | Qual o total de dias de internação registrados? | EX = 0
GT078 | Quais são os 10 principais motivos de internação para pacientes com menos de 18 anos, entre 18 e 64 anos, e acima de 64 anos? | EX = 0
GT082 | Quais são os 3 diagnósticos principais mais comuns entre pacientes com mais de 60 anos no estado de MA e no estado do RS? | EX = 0
GT091 | Quais são os 5 hospitais mais eficientes em custo por dia de internação (com mais de 1000 internações)? | EX = 0
GT100 | Qual o maior valor de serviço profissional registrado em uma internação? | EX = 0
GT101 | Qual a maior permanência hospitalar registrada? | EX = 0
GT112 | Qual o crescimento percentual anual de internações no estado do RS entre 2008 e 2023? | EX = 0
GT114 | Qual a distribuição dos métodos contraceptivos utilizados por pacientes em internações obstétricas, incluindo os casos sem informação? | EX = 0
GT116 | Quais são os 10 diagnósticos com maior crescimento absoluto de internações entre os períodos 2008-2012 e 2019-2023? | EX = 0
GT120 | Qual o total e o percentual de internações por doenças respiratórias (CID J%) em cada trimestre do ano no estado do RS? | EX = 0
GT121 | Quais municípios com mais de 500 internações aparecem simultaneamente no top-20 de volume e no top-20 de taxa de mortalidade nos estados MA e RS? | EX = 0
GT122 | Quais procedimentos, ordenados por volume decrescente, cobrem até 80% do total de atendimentos realizados? | EX = 0
GT124 | Qual a média móvel de 3 anos de internações no estado do RS por ano (2008-2023)? | EX = 0
GT128 | Quais municípios com mais de 1000 internações têm taxa de internação em UTI mais de duas vezes acima da média nacional? | EX = 0
GT132 | Quais os 3 hospitais com maior valor médio de serviço hospitalar (VAL_SH) por estado (MA e RS), considerando hospitais com mais de 500 internações? | EX = 0
GT133 | Em qual mês de cada ano (2008-2023) ocorreu o maior número de internações em UTI? | EX = 0
GT134 | Qual a média de dias de internação por especialidade médica, comparando lado a lado os estados MA e RS? | EX = 0
