Ground truths com EX = 0
----------------------------------------
GT003 | Quantos procedimentos diferentes existem cadastrados? | EX = 0
GT004 | Quantos códigos CID-10 estão disponíveis? | EX = 0
GT005 | Quantos hospitais estão cadastrados? | EX = 0
GT011 | Quantos pacientes têm nível de instrução informado? | EX = 0
GT019 | Quantos hospitais registraram pelo menos uma morte? | EX = 0
GT026 | Qual é o valor médio de UTI para homens? | EX = 0
GT030 | Qual a idade média dos pacientes internados? | EX = 0
GT035 | Qual município teve o maior número de internações masculinas em 2020? | EX = 0
GT037 | Qual a taxa de mortalidade infantil média no Brasil? | EX = 0
GT038 | Quantos hospitais atenderam casos de UTI em 2020? | EX = 0
GT040 | Quantas internações tiveram tanto diagnóstico principal quanto secundário? | EX = 0
GT044 | Quantas internações por doença respiratória ocorrem no inverno (junho a agosto)? | EX = 0
GT046 | Qual a taxa de mortalidade no estado do Rio Grande do Sul em 2021? | EX = 0
GT049 | Quantos códigos CID-10 distintos existem? | EX = 0
GT052 | Quantos registros de raça/cor estão cadastrados? | EX = 0
GT058 | Qual a distribuição por idade nas internações? | EX = 0
GT060 | Qual a média de dias internados por idade? | EX = 0
GT061 | Quantas internações com idade acima de 60 anos? | EX = 0
GT070 | Qual o total de benefício Bolsa Família que o estado do MA e RS recebem? | EX = 0
GT071 | Qual o total de esgotamento sanitário nos estados do MA e RS? | EX = 0
GT073 | Quais são os 10 municípios que atendem mais pacientes? | EX = 0
GT077 | Quantas mortes foram registradas no estado do RS? | EX = 0
GT079 | Quais são os 3 diagnósticos principais mais comuns entre pacientes com mais de 60 anos no estado de MS e no estado do RS? | EX = 0
GT083 | Quais são os 3 hospitais com maior custo médio de UTI por estado (MA e RS)? | EX = 0
GT088 | Quais são os 5 hospitais mais eficientes em custo por dia de internação (com mais de 1000 internações)? | EX = 0
GT089 | Quais são as 5 combinações mais frequentes de diagnóstico e especialidade entre homens com mais de 60 anos? | EX = 0
GT090 | Em qual ano ocorreu o maior número de mortes em cada estado (MA e RS)? | EX = 0
GT092 | Quantas categorias de raça/cor estão cadastradas? | EX = 0
GT093 | Quantos tipos de vínculo previdenciário existem? | EX = 0
GT094 | Quantos níveis de instrução estão cadastrados? | EX = 0
GT099 | Quantas internações foram registradas para pacientes com menos de 1 ano de idade? | EX = 0
GT101 | Quantos hospitais registraram internações mas nunca tiveram nenhum óbito registrado? | EX = 0
GT104 | Qual a distribuição dos métodos contraceptivos utilizados por pacientes em internações obstétricas, incluindo os casos sem informação? | EX = 0
GT105 | Qual o hospital com maior receita total por especialidade médica, considerando apenas hospitais com mais de 500 internações na especialidade? | EX = 0
GT106 | Quais são os 10 diagnósticos com maior crescimento absoluto de internações entre os períodos 2008-2012 e 2019-2023? | EX = 0
GT107 | Qual a razão entre internações masculinas e femininas em UTI por ano, considerando apenas internações cirúrgicas (ESPEC = 1)? | EX = 0
GT110 | Qual o total e o percentual de internações por doenças respiratórias (CID J%) em cada trimestre do ano no estado do RS? | EX = 0
GT113 | Qual a média móvel de 3 anos de internações no estado do RS por ano (2008-2023)? | EX = 0
