variant_id,variant_name,mode,description_variant,prompt_variant,id,difficulty,question,stage_used,heuristic_tables,heuristic_confidence,embedding_tables,embedding_confidence,llm_tables,llm_raw_response,raw_selected_tables,validated_selected_tables,gold_core_tables,gold_optional_tables,gold_forbidden_tables,raw_core_recall,raw_allowed_precision,raw_exact_core_match,raw_acceptable,raw_forbidden_hit,raw_missing_core,raw_unexpected_tables,raw_forbidden_selected,validated_core_recall,validated_allowed_precision,validated_exact_core_match,validated_acceptable,validated_forbidden_hit,validated_missing_core,validated_unexpected_tables,validated_forbidden_selected,error
TS00,full_cascade::current::current,full_cascade,current,current,GT001,easy,Quantas internações foram registradas no total?,llm,[],0.0,[],0.3089641332626343,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],"[""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT002,easy,Quantas mortes foram registradas?,llm,[],0.0,[],0.407784104347229,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],"[""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT007,easy,Quantos registros de internação em UTI existem?,llm,[],0.0,[],0.37387198209762573,"[""internacoes"", ""marca_uti""]","internacoes, marca_uti","[""internacoes"", ""marca_uti""]","[""internacoes"", ""marca_uti""]","[""internacoes""]",[],[],1.0,0.5,False,False,False,[],"[""marca_uti""]",[],1.0,0.5,False,False,False,[],"[""marca_uti""]",[],
TS00,full_cascade::current::current,full_cascade,current,current,GT010,easy,Quantos casos obstétricos foram registrados?,llm,[],0.0,[],0.3514367938041687,"[""internacoes"", ""cid""]","internacoes, cid","[""internacoes"", ""cid""]","[""internacoes""]","[""internacoes""]",[],"[""cid"", ""socioeconomico""]",1.0,0.5,False,False,True,[],"[""cid""]","[""cid""]",1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT014,medium,Quantas internações por meningite ocasionaram em morte?,llm,[],0.0,[],0.3335118293762207,"[""internacoes"", ""cid""]","internacoes, cid","[""internacoes"", ""cid""]","[""internacoes"", ""cid""]","[""internacoes"", ""cid""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT017,easy,Qual o tempo médio de permanência hospitalar?,llm,[],0.0,[],0.4313787817955017,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT040,easy,Qual a taxa de mortalidade infantil média no Brasil?,heuristic,"[""socioeconomico""]",0.95,[],0.0,[],,"[""socioeconomico""]","[""socioeconomico""]","[""socioeconomico""]",[],"[""internacoes""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT021,hard,Quais são os 5 procedimentos mais realizados?,heuristic,"[""internacoes"", ""internacao_procedimento"", ""procedimentos""]",0.92,[],0.0,[],,"[""internacoes"", ""internacao_procedimento"", ""procedimentos""]","[""internacoes"", ""internacao_procedimento"", ""procedimentos""]","[""internacao_procedimento"", ""procedimentos""]","[""internacoes""]","[""socioeconomico"", ""cid""]",1.0,1.0,False,True,False,[],[],[],1.0,1.0,False,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT023,medium,Quantas internações de UTI resultaram em óbito?,llm,[],0.0,[],0.4099887013435364,"[""internacoes"", ""hospital"", ""marca_uti""]","internacoes, hospital, marca_uti","[""internacoes"", ""hospital"", ""marca_uti""]","[""internacoes"", ""hospital"", ""marca_uti""]","[""internacoes""]",[],[],1.0,0.3333,False,False,False,[],"[""hospital"", ""marca_uti""]",[],1.0,0.3333,False,False,False,[],"[""hospital"", ""marca_uti""]",[],
TS00,full_cascade::current::current,full_cascade,current,current,GT028,hard,Quais sao os 10 municípios com mais de 100 internações com a maior taxa de mortalidade?,heuristic,"[""internacoes"", ""municipios""]",0.93,[],0.0,[],,"[""internacoes"", ""municipios""]","[""internacoes"", ""municipios""]","[""internacoes"", ""municipios""]",[],"[""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT033,easy,Qual a idade média dos pacientes internados?,llm,[],0.0,[],0.39789241552352905,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT035,medium,Qual o diagnóstico mais comum nas internações?,embedding,[],0.0,"[""cid"", ""especialidade"", ""municipios""]",0.5144975185394287,[],,"[""cid"", ""especialidade"", ""municipios""]","[""cid"", ""especialidade"", ""municipios""]","[""internacoes"", ""cid""]",[],[],0.5,0.3333,False,False,False,"[""internacoes""]","[""especialidade"", ""municipios""]",[],0.5,0.3333,False,False,False,"[""internacoes""]","[""especialidade"", ""municipios""]",[],
TS00,full_cascade::current::current,full_cascade,current,current,GT036,medium,Quantas internações ocorreram em 2015?,llm,[],0.0,[],0.18594375252723694,"[""internacoes"", ""tempo""]","internacoes, tempo","[""internacoes"", ""tempo""]","[""internacoes"", ""tempo""]","[""internacoes""]",[],[],1.0,0.5,False,False,False,[],"[""tempo""]",[],1.0,0.5,False,False,False,[],"[""tempo""]",[],
TS00,full_cascade::current::current,full_cascade,current,current,GT037,medium,Quantos pacientes nasceram antes de 1950?,llm,[],0.0,[],0.3644375205039978,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT039,medium,Quais são as três causas de morte mais frequentes entre mulheres?,llm,[],0.0,[],0.41348353028297424,"[""internacoes"", ""cid"", ""sexo""]","internacoes, cid, sexo","[""internacoes"", ""cid"", ""sexo""]","[""internacoes"", ""cid""]","[""internacoes"", ""cid""]",[],[],1.0,0.6667,False,False,False,[],"[""sexo""]",[],1.0,1.0,True,True,False,[],[],[],
TS00,full_cascade::current::current,full_cascade,current,current,GT044,hard,Qual o custo médio de UTI por faixa etária dos pacientes?,embedding,[],0.0,"[""internacoes"", ""socioeconomico"", ""hospital""]",0.5730061531066895,[],,"[""internacoes"", ""socioeconomico"", ""hospital""]","[""internacoes"", ""socioeconomico"", ""hospital""]","[""internacoes""]",[],[],1.0,0.3333,False,False,False,[],"[""hospital"", ""socioeconomico""]",[],1.0,0.3333,False,False,False,[],"[""hospital"", ""socioeconomico""]",[],
TS00,full_cascade::current::current,full_cascade,current,current,GT046,medium,Qual a evolução de internações para cada ano?,llm,[],0.0,[],0.28544941544532776,"[""internacoes"", ""tempo""]","internacoes, tempo","[""internacoes"", ""tempo""]","[""internacoes"", ""tempo""]","[""internacoes""]",[],[],1.0,0.5,False,False,False,[],"[""tempo""]",[],1.0,0.5,False,False,False,[],"[""tempo""]",[],
