variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,workflow_success,semantic_plan,semantic_validation,semantic_error,semantic_repair,repair_attempts,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total_internacoes FROM internacoes;,True,6.15,,ablation_20260510T163756_4e631e55_V0_GT001,results,1,1,[[18443084]],[[18443084]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14094,261,14355,0.001397
V0,full_pipeline,GT002,easy,Quantas mortes foram registradas?,"SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;",True,7.34,,ablation_20260510T163756_4e631e55_V0_GT002,results,1,1,[[763021]],[[763021]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""desfecho"", ""values"": [""MORTE = true""], ""operator"": ""semantic""}, {""field"": ""desfecho"", ""values"": [""MORTE""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14153,320,14473,0.001441
V0,full_pipeline,GT003,easy,Quantos procedimentos diferentes existem cadastrados?,SELECT COUNT(*) AS total_procedimentos FROM procedimentos;,SELECT COUNT(*) AS total_procedimentos FROM procedimentos;,True,7.14,,ablation_20260510T163756_4e631e55_V0_GT003,results,1,1,[[5395]],[[5395]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""procedimento_ocorrencia"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""procedimento"", ""forbidden_output_dimensions"": [""procedimento""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},17597,294,17891,0.00248
V0,full_pipeline,GT004,easy,Quantos códigos CID-10 estão disponíveis?,SELECT COUNT(*) AS total_cids FROM cid;,"SELECT COUNT(DISTINCT ""CID"") AS cid_catalog_count FROM cid;",True,7.33,,ablation_20260510T163756_4e631e55_V0_GT004,results,1,1,[[14262]],[[14262]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""cid_catalog"", ""metrics"": [{""name"": ""cid_catalog_count"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""diagnostico"", ""forbidden_output_dimensions"": [""diagnostico""]}, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [""catalog_cardinality_must_use_reference_table""], ""null_policy"": [], ""message"": null}",{},{},[],{},9309,314,9623,0.001009
V0,full_pipeline,GT005,easy,Quantos hospitais estão cadastrados?,SELECT COUNT(*) AS total_hospitais FROM hospital;,SELECT COUNT(*) FROM hospital;,True,6.18,,ablation_20260510T163756_4e631e55_V0_GT005,results,1,1,[[711]],[[711]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""hospital"", ""forbidden_output_dimensions"": [""hospital""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},10262,254,10516,0.00101
V0,full_pipeline,GT006,easy,Quantos municípios têm dados socioeconômicos registrados?,SELECT COUNT(DISTINCT codigo_6d) AS total_municipios FROM socioeconomico;,"SELECT COUNT(DISTINCT mu.""codigo_6d"") FROM municipios mu JOIN socioeconomico s ON mu.""codigo_6d"" = s.""codigo_6d"" WHERE s.""metrica"" IS NOT NULL;",True,10.51,,ablation_20260510T163756_4e631e55_V0_GT006,results,1,1,[[5570]],[[5570]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""dados_socioeconomicos"", ""values"": [""registrados""], ""operator"": ""exists""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""counted_entity"": ""municipio"", ""forbidden_output_dimensions"": [""municipio""]}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}","{""category"": ""unknown"", ""severity"": ""error"", ""message"": ""(_duckdb.BinderException) Binder Error: Ambiguous reference to column name \""codigo_6d\"" (use: \""mu.codigo_6d\"" or \""s.codigo_6d\"")\n[SQL: EXPLAIN SELECT COUNT(DISTINCT \""codigo_6d\"") FROM municipios mu JOIN socioeconomico s ON mu.\""codigo_6d\"" = s.\""codigo_6d\"" WHERE s.metrica IS NOT NULL;]\n(Background on this error at: https://sqlalche.me/e/20/f405)""}","{""original_category"": ""unknown"", ""original_message"": ""(_duckdb.BinderException) Binder Error: Ambiguous reference to column name \""codigo_6d\"" (use: \""mu.codigo_6d\"" or \""s.codigo_6d\"")\n[SQL: EXPLAIN SELECT COUNT(DISTINCT \""codigo_6d\"") FROM municipios mu JOIN socioeconomico s ON mu.\""codigo_6d\"" = s.\""codigo_6d\"" WHERE s.metrica IS NOT NULL;]\n(Background on this error at: https://sqlalche.me/e/20/f405)"", ""guidance_title"": ""Erro semantico desconhecido"", ""strategy"": ""llm_guided"", ""post_repair_category"": null, ""post_repair_message"": null, ""validation_passed_after_repair"": true}","[{""previous_sql"": ""SELECT COUNT(DISTINCT \""codigo_6d\"") FROM municipios mu JOIN socioeconomico s ON mu.\""codigo_6d\"" = s.\""codigo_6d\"" WHERE s.metrica IS NOT NULL;"", ""error_message"": ""(_duckdb.BinderException) Binder Error: Ambiguous reference to column name \""codigo_6d\"" (use: \""mu.codigo_6d\"" or \""s.codigo_6d\"")\n[SQL: EXPLAIN SELECT COUNT(DISTINCT \""codigo_6d\"") FROM municipios mu JOIN socioeconomico s ON mu.\""codigo_6d\"" = s.\""codigo_6d\"" WHERE s.metrica IS NOT NULL;]\n(Background on this error at: https://sqlalche.me/e/20/f405)"", ""semantic_category"": ""unknown"", ""semantic_guidance"": ""Erro semantico desconhecido"", ""violated_contract"": {}, ""repair_strategy"": ""llm_guided"", ""timestamp"": ""2026-05-10T13:38:13.276374"", ""post_repair_validation"": {""passed"": true, ""message"": null}}]",{},9890,472,10362,0.001296
V0,full_pipeline,GT007,easy,Quantos registros de internação em UTI existem?,"SELECT COUNT(*) AS total_uti FROM internacoes WHERE ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0;",True,7.99,,ablation_20260510T163756_4e631e55_V0_GT007,results,1,1,[[1109116]],[[1109116]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""uti"", ""values"": [""VAL_UTI > 0""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14150,335,14485,0.00145
V0,full_pipeline,GT008,easy,Quantos casos de VDRL positivo foram registrados?,"SELECT COUNT(*) AS total_vdrl FROM internacoes WHERE ""IND_VDRL"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""IND_VDRL"" = true;",True,7.67,,ablation_20260510T163756_4e631e55_V0_GT008,results,1,1,[[2442516]],[[2442516]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},15939,334,16273,0.001564
V0,full_pipeline,GT009,easy,Quantas especialidades médicas estão cadastradas?,SELECT COUNT(*) AS total_especialidades FROM especialidade;,SELECT COUNT(*) AS total_especialidades FROM especialidade;,True,5.74,,ablation_20260510T163756_4e631e55_V0_GT009,results,1,1,[[33]],[[33]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},8631,279,8910,0.001126
V0,full_pipeline,GT010,easy,Quantos casos obstétricos foram registrados?,"SELECT COUNT(*) AS total_obstetricos FROM internacoes WHERE ""ESPEC"" = 2;","SELECT COUNT(*) AS total FROM internacoes WHERE ""ESPEC"" = 2;",True,7.19,,ablation_20260510T163756_4e631e55_V0_GT010,results,1,1,[[2879421]],[[2879421]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,True,"{""intent"": ""count"", ""base_grain"": ""internacao"", ""metrics"": [{""name"": ""total"", ""expression_type"": ""count"", ""required_filters"": []}], ""dimensions"": [], ""filters"": [{""field"": ""obstetrico"", ""values"": [""ESPEC = 2""], ""operator"": ""semantic""}], ""answer_shape"": {""row_grain"": ""single_scalar"", ""top_n_scope"": ""none"", ""required_dimensions"": [], ""partition_dimensions"": [], ""ranked_dimensions"": [], ""requires_group_by"": false, ""include_unknown_bucket"": false, ""answer_kind"": ""scalar"", ""expected_row_count"": ""one"", ""output_dimensions"": [], ""filter_dimensions"": [], ""forbidden_output_dimensions"": []}, ""constraints"": [], ""null_policy"": [], ""ambiguities"": []}","{""passed"": true, ""constraints"": [], ""null_policy"": [], ""message"": null}",{},{},[],{},14142,327,14469,0.001444
