variant_id,variant_name,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,Full pipeline — baseline (all components enabled),{},40,0.825,0.9,0.9333,0.6667,0.0,,,579850,14496,0.076038
V2,no_cot_reasoning,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",40,0.825,0.9,0.9333,0.6667,0.0,0.0,1.0,575387,14385,0.07203
V3,no_validation,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",40,0.4,0.9,0.4,0.0667,-42.5,17.0,0.0,524849,13121,0.062257
V4,no_repair,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",40,0.775,0.9,0.9333,0.5333,-5.0,1.0,0.375,550209,13755,0.066095
V5,no_table_selection_llm,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",40,0.725,0.9,0.8,0.5333,-10.0,4.0,0.0625,582303,14558,0.072935
V6,no_schema_enrichment,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",40,0.8,0.9,0.9333,0.6,-2.5,0.3333,0.625,538758,13469,0.070749
V7,no_rules,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",40,0.75,0.9,0.8667,0.5333,-7.5,3.0,0.125,485962,12149,0.066781
V8,zero_shot_raw,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",40,0.425,0.9,0.4667,0.0667,-40.0,16.0,0.0,377824,9446,0.049653
V9,no_semantic_planner,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",40,0.8,0.9,0.8667,0.6667,-2.5,0.2,0.6875,512619,12815,0.064511
V10,no_semantic_plan_validation,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",40,0.875,0.9,1.0,0.7333,5.0,0.6667,0.4531,564519,14113,0.068015
V11,no_semantic_contract_validator,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",40,0.875,0.9,0.9333,0.8,5.0,0.6667,0.4531,566940,14174,0.068618
V12,no_semantic_repair_guidance,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",40,0.8,0.9,0.8667,0.6667,-2.5,0.3333,0.625,653646,16341,0.078554
